종목코드,종목명,SMA5_일치율,SMA20_일치율,SMA60_일치율,BB상_일치율,BB중_일치율,BB하_일치율,RSI_일치율,MACD_일치율,전체지표동시일치율,비교가능일수
000270.KS,기아,52.5%,37.5%,50.0%,50.0%,37.5%,52.5%,52.5%,42.9%,10.0%,40
000660.KS,SK하이닉스,61.5%,66.7%,50.0%,66.7%,66.7%,74.4%,63.2%,51.9%,30.8%,39
005380.KS,현대차,45.9%,51.4%,100.0%,54.1%,51.4%,45.9%,58.8%,46.2%,10.8%,37
005930.KS,삼성전자,47.5%,57.5%,50.0%,47.5%,57.5%,57.5%,45.0%,39.3%,20.0%,40
035420.KS,NAVER,56.4%,37.5%,0.0%,55.0%,37.5%,42.5%,52.5%,57.1%,2.5%,40
055550.KS,신한지주,41.0%,45.0%,100.0%,47.5%,45.0%,52.5%,50.0%,57.1%,0.0%,40
105560.KS,KB금융,42.5%,42.5%,100.0%,45.0%,42.5%,47.5%,60.0%,57.1%,10.0%,40
207940.KS,삼성바이오로직스,52.5%,47.5%,50.0%,47.5%,47.5%,70.0%,55.0%,53.6%,12.5%,40
329180.KS,HD현대중공업,36.8%,41.0%,100.0%,46.2%,41.0%,51.3%,64.1%,48.1%,12.8%,39
373220.KS,LG에너지솔루션,45.0%,51.3%,0.0%,53.8%,51.3%,33.3%,42.5%,57.1%,2.5%,40
