종목코드,종목명,일자,종가,종가_등락비율,종가_방향,SMA5_등락비율,SMA20_등락비율,SMA60_등락비율,BB상_등락비율,BB중_등락비율,BB하_등락비율,RSI_등락비율,MACD_등락비율,거래량_등락비율,SMA5_전일방향,SMA5_종가일치,SMA20_전일방향,SMA20_종가일치,SMA60_전일방향,SMA60_종가일치,BB상_전일방향,BB상_종가일치,BB중_전일방향,BB중_종가일치,BB하_전일방향,BB하_종가일치,RSI_전일방향,RSI_종가일치,MACD_전일방향,MACD_종가일치,거래량_전일방향,거래량_종가일치
000270.KS,기아,2025-12-30,121800.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000270.KS,기아,2026-01-02,120600.0000,-0.9852,하락,,,,,,,,,48.3825,,,,,,,,,,,,,,,,,,
000270.KS,기아,2026-01-05,122600.0000,1.6584,상승,,,,,,,,,32.9500,,,,,,,,,,,,,,,,,상승,1
000270.KS,기아,2026-01-06,122500.0000,-0.0816,하락,,,,,,,,,51.6962,,,,,,,,,,,,,,,,,상승,0
000270.KS,기아,2026-01-07,129300.0000,5.5510,상승,,,,,,,,,133.3185,,,,,,,,,,,,,,,,,상승,1
000270.KS,기아,2026-01-08,124900.0000,-3.4029,하락,0.5026,,,,,,,,-44.2670,,,,,,,,,,,,,,,,,상승,0
000270.KS,기아,2026-01-09,133200.0000,6.6453,상승,2.0326,,,,,,,,2.6812,상승,1,,,,,,,,,,,,,,,하락,0
000270.KS,기아,2026-01-12,129300.0000,-2.9279,하락,1.0593,,,,,,,,1.7345,상승,0,,,,,,,,,,,,,,,상승,0
000270.KS,기아,2026-01-13,136000.0000,5.1817,상승,2.1120,,,,,,,,66.4717,상승,1,,,,,,,,,,,,,,,상승,1
000270.KS,기아,2026-01-14,143000.0000,5.1471,상승,2.0990,,,,,,,,1.6174,상승,1,,,,,,,,,,,,,,,상승,1
000270.KS,기아,2026-01-15,152500.0000,6.6434,상승,4.1417,,,,,,,,12.8169,상승,1,,,,,,,,,,,,,,,상승,1
