종목코드,종목명,SMA5_일치율,SMA20_일치율,SMA60_일치율,BB상_일치율,BB중_일치율,BB하_일치율,RSI_일치율,MACD_일치율,거래량_일치율,전체지표동시일치율,비교가능일수
000270.KS,기아,51.3%,49.0%,52.5%,46.9%,49.0%,54.1%,55.4%,47.6%,52.1%,7.7%,117
000660.KS,SK하이닉스,55.4%,55.1%,67.8%,61.2%,55.1%,56.1%,53.5%,56.0%,58.1%,18.8%,117
000810.KS,삼성화재,51.4%,44.8%,42.1%,46.9%,44.8%,52.1%,51.5%,50.0%,51.3%,6.1%,115
005380.KS,현대차,47.2%,47.9%,48.2%,47.9%,47.9%,46.9%,52.6%,43.9%,57.4%,7.8%,115
005490.KS,POSCO홀딩스,52.6%,54.5%,46.7%,59.6%,54.5%,53.5%,52.4%,56.5%,45.8%,5.1%,118
005930.KS,삼성전자,48.7%,55.6%,58.3%,51.0%,55.6%,53.5%,47.5%,45.9%,56.4%,14.5%,117
006400.KS,삼성SDI,48.2%,53.6%,53.3%,56.7%,53.6%,46.4%,42.6%,56.0%,50.4%,8.5%,117
009150.KS,삼성전기,54.1%,63.3%,64.4%,63.3%,63.3%,45.9%,53.5%,52.4%,57.4%,9.6%,115
009540.KS,HD한국조선해양,56.5%,40.0%,35.0%,49.0%,40.0%,50.0%,52.4%,53.5%,48.7%,5.9%,119
010120.KS,LS ELECTRIC,56.4%,59.4%,48.2%,55.2%,59.4%,43.8%,59.6%,65.9%,56.3%,9.6%,114
012330.KS,현대모비스,42.1%,43.2%,36.8%,41.1%,43.2%,50.5%,54.7%,46.3%,52.6%,3.5%,114
012450.KS,한화에어로스페이스,46.9%,48.5%,53.3%,53.6%,48.5%,47.4%,45.5%,47.1%,50.4%,6.8%,117
028260.KS,삼성물산,50.4%,50.5%,51.7%,47.5%,50.5%,48.5%,46.6%,50.6%,50.0%,6.8%,118
032830.KS,삼성생명,51.8%,55.8%,61.8%,53.7%,55.8%,56.8%,50.5%,49.4%,44.7%,14.0%,114
034020.KS,두산에너빌리티,53.1%,50.0%,51.7%,57.1%,50.0%,46.9%,42.6%,51.8%,51.3%,6.8%,117
034730.KS,SK,62.8%,61.9%,65.5%,55.7%,61.9%,45.4%,48.5%,56.0%,52.1%,12.0%,117
035420.KS,NAVER,56.9%,40.6%,46.6%,51.0%,40.6%,38.5%,47.4%,57.3%,55.7%,6.1%,115
042660.KS,한화오션,52.6%,41.8%,51.7%,50.0%,41.8%,42.9%,48.5%,48.2%,55.1%,5.1%,118
042700.KS,한미반도체,44.6%,48.5%,40.4%,56.7%,48.5%,47.4%,41.4%,56.6%,56.0%,6.9%,116
055550.KS,신한지주,47.3%,43.9%,47.5%,43.9%,43.9%,46.9%,45.6%,56.5%,44.1%,5.1%,118
066570.KS,LG전자,52.2%,54.0%,56.7%,49.0%,54.0%,53.0%,51.4%,52.3%,45.4%,7.6%,119
068270.KS,셀트리온,45.0%,48.5%,59.3%,54.5%,48.5%,40.4%,48.5%,57.6%,54.2%,4.2%,118
086790.KS,하나금융지주,46.4%,49.0%,55.9%,53.1%,49.0%,39.8%,60.4%,63.1%,48.7%,8.5%,117
105560.KS,KB금융,43.8%,41.2%,48.3%,48.5%,41.2%,42.3%,53.5%,51.8%,54.3%,5.2%,116
207940.KS,삼성바이오로직스,47.3%,45.4%,58.3%,45.4%,45.4%,54.6%,51.5%,47.1%,48.3%,5.1%,118
267260.KS,HD현대일렉트릭,51.3%,42.9%,50.0%,61.2%,42.9%,33.7%,52.5%,60.7%,55.6%,6.0%,117
298040.KS,효성중공업,56.1%,50.5%,45.8%,52.5%,50.5%,45.5%,51.5%,56.5%,53.4%,8.5%,118
329180.KS,HD현대중공업,49.1%,45.9%,42.4%,45.9%,45.9%,49.0%,56.3%,45.9%,46.6%,6.8%,118
373220.KS,LG에너지솔루션,46.5%,49.0%,43.3%,52.0%,49.0%,42.9%,41.7%,56.5%,60.2%,6.8%,118
402340.KS,SK스퀘어,51.8%,54.5%,66.7%,58.6%,54.5%,45.5%,55.3%,53.5%,53.8%,8.5%,117
