종목코드,종목명,매집신호일,연속일수,구간시작일,구간종료일,신호일_종가등락비율,신호일_상승여부,구간1일차_거래량등락,구간2일차_거래량등락,구간종료_거래량등락,구간종료_SMA5등락
068270.KS,셀트리온,2026-01-23,2,2026-01-21,2026-01-22,1.9231,상승,29.6452,27.9263,27.9263,-0.2411
009540.KS,HD한국조선해양,2026-01-29,2,2026-01-27,2026-01-28,-0.3550,하락,20.9022,20.1621,20.1621,-0.2804
012450.KS,한화에어로스페이스,2026-01-29,2,2026-01-27,2026-01-28,0.9317,상승,21.7534,17.0702,17.0702,-0.4251
009150.KS,삼성전기,2026-04-06,2,2026-04-02,2026-04-03,1.3158,상승,21.7715,17.4977,17.4977,-0.0464
010950.KS,S-Oil,2026-04-22,2,2026-04-20,2026-04-21,-0.1750,하락,18.0755,27.6394,27.6394,-0.8165
316140.KS,우리금융지주,2026-04-24,2,2026-04-22,2026-04-23,0.5739,상승,19.5213,23.7563,23.7563,-0.4499
042660.KS,한화오션,2026-05-07,2,2026-05-04,2026-05-06,-0.2304,하락,29.8489,22.0499,22.0499,-0.4966
267250.KS,HD현대,2026-05-12,2,2026-05-08,2026-05-11,-2.2147,하락,18.4188,18.7185,18.7185,-1.1506
010120.KS,LS ELECTRIC,2026-05-18,2,2026-05-14,2026-05-15,-2.1236,하락,15.9084,26.9283,26.9283,-3.6710
000270.KS,기아,2026-05-21,2,2026-05-19,2026-05-20,12.3829,상승,15.4077,21.5886,21.5886,-3.5706
105560.KS,KB금융,2026-05-21,2,2026-05-19,2026-05-20,2.7027,상승,17.3458,15.4979,15.4979,-0.0390
207940.KS,삼성바이오로직스,2026-05-21,2,2026-05-19,2026-05-20,4.3381,상승,26.7821,19.4171,19.4171,-1.0414
010950.KS,S-Oil,2026-05-22,2,2026-05-20,2026-05-21,1.5843,상승,25.5809,25.0880,25.0880,-1.3762
006400.KS,삼성SDI,2026-06-09,2,2026-06-05,2026-06-08,2.3857,상승,16.3132,15.1032,15.1032,-5.9352
051910.KS,LG화학,2026-06-10,2,2026-06-08,2026-06-09,-1.8237,하락,25.0773,26.3197,26.3197,-1.9822
028260.KS,삼성물산,2026-06-25,2,2026-06-23,2026-06-24,7.7882,상승,19.7041,18.6403,18.6403,-0.3481
010950.KS,S-Oil,2026-06-29,2,2026-06-25,2026-06-26,11.2661,상승,24.5963,16.5748,16.5748,-2.3301
373220.KS,LG에너지솔루션,2026-06-29,2,2026-06-25,2026-06-26,20.8145,상승,27.1160,29.8292,29.8292,-3.9048
