패턴,종목코드,종목명,신호일,T-2일,T-1일,T-2_거래량등락,T-1_거래량등락,T-2_SMA5등락,T-1_SMA5등락,신호일_종가등락비율,신호일_상승여부
B_SMA5하락후반등,086790.KS,하나금융지주,2026-01-15,2026-01-13,2026-01-14,10.6607,23.9808,-0.1284,0.5572,0.1041,상승
B_SMA5하락후반등,316140.KS,우리금융지주,2026-01-15,2026-01-13,2026-01-14,18.1576,19.1740,-0.3259,0.2179,-0.1783,하락
A_SMA5연속2일하락,068270.KS,셀트리온,2026-01-23,2026-01-21,2026-01-22,29.6452,27.9263,-0.7180,-0.2411,1.9231,상승
B_SMA5하락후반등,298040.KS,효성중공업,2026-01-28,2026-01-26,2026-01-27,25.5529,28.6305,-0.1365,0.3674,5.4881,상승
A_SMA5연속2일하락,009540.KS,HD한국조선해양,2026-01-29,2026-01-27,2026-01-28,20.9022,20.1621,-0.7653,-0.2804,-0.3550,하락
A_SMA5연속2일하락,012450.KS,한화에어로스페이스,2026-01-29,2026-01-27,2026-01-28,21.7534,17.0702,-1.2286,-0.4251,0.9317,상승
B_SMA5하락후반등,012330.KS,현대모비스,2026-01-30,2026-01-28,2026-01-29,10.7894,15.4144,-1.7427,0.1533,-1.7505,하락
A_SMA5연속2일하락,066570.KS,LG전자,2026-01-30,2026-01-28,2026-01-29,13.1704,16.2199,-1.7908,-1.0281,-1.7839,하락
A_SMA5연속2일하락,000150.KS,두산,2026-02-09,2026-02-05,2026-02-06,10.6411,11.1743,-0.5717,-0.5290,6.8841,상승
A_SMA5연속2일하락,012330.KS,현대모비스,2026-02-09,2026-02-05,2026-02-06,13.4737,12.2335,-1.0515,-1.0400,2.1127,상승
B_SMA5하락후반등,017670.KS,SK텔레콤,2026-02-13,2026-02-11,2026-02-12,22.3912,11.5395,-0.6726,0.1354,10.8974,상승
B_SMA5하락후반등,047810.KS,한국항공우주,2026-02-13,2026-02-11,2026-02-12,19.3866,14.0263,-1.0792,0.4339,6.7674,상승
A_SMA5연속2일하락,042660.KS,한화오션,2026-03-03,2026-02-26,2026-02-27,14.1989,22.5764,-0.0830,-1.2047,-4.1076,하락
A_SMA5연속2일하락,010120.KS,LS ELECTRIC,2026-03-05,2026-03-03,2026-03-04,11.1057,15.2152,-0.2099,-3.1554,11.9808,상승
B_SMA5하락후반등,402340.KS,SK스퀘어,2026-03-17,2026-03-13,2026-03-16,19.5060,24.4743,-0.6947,1.9514,4.4484,상승
B_SMA5하락후반등,000660.KS,SK하이닉스,2026-03-25,2026-03-23,2026-03-24,14.1587,11.2566,-0.8167,0.3213,0.9128,상승
B_SMA5하락후반등,006400.KS,삼성SDI,2026-03-25,2026-03-23,2026-03-24,16.1796,14.9116,-0.3283,0.4307,1.6352,상승
A_SMA5연속2일하락,009150.KS,삼성전기,2026-04-06,2026-04-02,2026-04-03,21.7715,17.4977,-1.8227,-0.0464,1.3158,상승
B_SMA5하락후반등,000270.KS,기아,2026-04-17,2026-04-15,2026-04-16,19.0329,27.6673,-1.0195,0.9898,0.8233,상승
A_SMA5연속2일하락,010950.KS,S-Oil,2026-04-22,2026-04-20,2026-04-21,18.0755,27.6394,-1.0269,-0.8165,-0.1750,하락
A_SMA5연속2일하락,138040.KS,메리츠금융지주,2026-04-23,2026-04-21,2026-04-22,12.5582,26.9847,-0.2548,-0.3065,1.2121,상승
A_SMA5연속2일하락,006800.KS,미래에셋증권,2026-04-24,2026-04-22,2026-04-23,12.4519,28.8327,-0.1718,-1.0327,-1.1817,하락
A_SMA5연속2일하락,138040.KS,메리츠금융지주,2026-04-24,2026-04-22,2026-04-23,26.9847,12.5433,-0.3065,-0.3416,-2.0530,하락
A_SMA5연속2일하락,316140.KS,우리금융지주,2026-04-24,2026-04-22,2026-04-23,19.5213,23.7563,-0.2525,-0.4499,0.5739,상승
A_SMA5연속2일하락,042660.KS,한화오션,2026-05-07,2026-05-04,2026-05-06,29.8489,22.0499,-0.2851,-0.4966,-0.2304,하락
A_SMA5연속2일하락,009540.KS,HD한국조선해양,2026-05-11,2026-05-07,2026-05-08,10.6709,10.2302,-0.0430,-0.8610,4.8673,상승
B_SMA5하락후반등,009540.KS,HD한국조선해양,2026-05-12,2026-05-08,2026-05-11,10.2302,23.6456,-0.8610,0.5428,-2.0042,하락
A_SMA5연속2일하락,267250.KS,HD현대,2026-05-12,2026-05-08,2026-05-11,18.4188,18.7185,-0.8056,-1.1506,-2.2147,하락
A_SMA5연속2일하락,010120.KS,LS ELECTRIC,2026-05-18,2026-05-14,2026-05-15,15.9084,26.9283,-2.5505,-3.6710,-2.1236,하락
A_SMA5연속2일하락,012450.KS,한화에어로스페이스,2026-05-18,2026-05-14,2026-05-15,22.3479,13.8744,-0.1690,-1.4004,0.9046,상승
A_SMA5연속2일하락,000270.KS,기아,2026-05-21,2026-05-19,2026-05-20,15.4077,21.5886,-1.5647,-3.5706,12.3829,상승
A_SMA5연속2일하락,005490.KS,POSCO홀딩스,2026-05-21,2026-05-19,2026-05-20,14.7877,27.1106,-1.6214,-2.6327,6.3549,상승
A_SMA5연속2일하락,010950.KS,S-Oil,2026-05-21,2026-05-19,2026-05-20,11.5842,25.5809,-0.7392,-0.7979,-3.1588,하락
A_SMA5연속2일하락,105560.KS,KB금융,2026-05-21,2026-05-19,2026-05-20,17.3458,15.4979,-0.1039,-0.0390,2.7027,상승
A_SMA5연속2일하락,207940.KS,삼성바이오로직스,2026-05-21,2026-05-19,2026-05-20,26.7821,19.4171,-1.3649,-1.0414,4.3381,상승
A_SMA5연속2일하락,010950.KS,S-Oil,2026-05-22,2026-05-20,2026-05-21,25.5809,25.0880,-0.7979,-1.3762,1.5843,상승
A_SMA5연속2일하락,068270.KS,셀트리온,2026-05-22,2026-05-20,2026-05-21,11.0096,21.9545,-1.1807,-0.5920,4.7996,상승
A_SMA5연속2일하락,307950.KS,현대오토에버,2026-05-22,2026-05-20,2026-05-21,10.5543,27.9684,-4.4508,-1.9822,0.3180,상승
A_SMA5연속2일하락,006400.KS,삼성SDI,2026-06-09,2026-06-05,2026-06-08,16.3132,15.1032,-3.3488,-5.9352,2.3857,상승
A_SMA5연속2일하락,051910.KS,LG화학,2026-06-10,2026-06-08,2026-06-09,25.0773,26.3197,-2.5749,-1.9822,-1.8237,하락
B_SMA5하락후반등,011070.KS,LG이노텍,2026-06-16,2026-06-12,2026-06-15,12.8101,15.2511,-2.2326,2.0994,2.2333,상승
A_SMA5연속2일하락,028260.KS,삼성물산,2026-06-25,2026-06-23,2026-06-24,19.7041,18.6403,-1.6908,-0.3481,7.7882,상승
A_SMA5연속2일하락,064350.KS,현대로템,2026-06-26,2026-06-24,2026-06-25,15.6786,12.7504,-2.2714,-2.8187,-7.2131,하락
A_SMA5연속2일하락,010950.KS,S-Oil,2026-06-29,2026-06-25,2026-06-26,24.5963,16.5748,-1.3113,-2.3301,11.2661,상승
A_SMA5연속2일하락,042660.KS,한화오션,2026-06-29,2026-06-25,2026-06-26,12.5023,10.6937,-3.3592,-5.4189,7.6531,상승
A_SMA5연속2일하락,373220.KS,LG에너지솔루션,2026-06-29,2026-06-25,2026-06-26,27.1160,29.8292,-2.5033,-3.9048,20.8145,상승
